"","Date","Respondent","Code","Type","Timezone","Value","Units"
"1",2020-01-01,"Duke Energy Progress East","CPLE","Demand","Eastern","155751","megawatthours"
"2",2020-01-01,"Duke Energy Carolinas","DUK","Demand","Eastern","261951","megawatthours"
"3",2020-01-01,"New York Independent System Operator","NYIS","Demand","Eastern","395316","megawatthours"
"4",2020-01-01,"PJM Interconnection, LLC","PJM","Demand","Eastern","2007931","megawatthours"
"5",2020-01-01,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","590257","megawatthours"
"6",2020-01-01,"Tennessee Valley Authority","TVA","Demand","Eastern","410160","megawatthours"
"7",2020-01-02,"Duke Energy Progress East","CPLE","Demand","Eastern","167463","megawatthours"
"8",2020-01-02,"Duke Energy Carolinas","DUK","Demand","Eastern","289620","megawatthours"
"9",2020-01-02,"New York Independent System Operator","NYIS","Demand","Eastern","416985","megawatthours"
"10",2020-01-02,"PJM Interconnection, LLC","PJM","Demand","Eastern","2189419","megawatthours"
"11",2020-01-02,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","597410","megawatthours"
"12",2020-01-02,"Tennessee Valley Authority","TVA","Demand","Eastern","417709","megawatthours"
"13",2020-01-03,"Duke Energy Progress East","CPLE","Demand","Eastern","145109","megawatthours"
"14",2020-01-03,"Duke Energy Carolinas","DUK","Demand","Eastern","272209","megawatthours"
"15",2020-01-03,"New York Independent System Operator","NYIS","Demand","Eastern","411481","megawatthours"
"16",2020-01-03,"PJM Interconnection, LLC","PJM","Demand","Eastern","2071805","megawatthours"
"17",2020-01-03,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","557024","megawatthours"
"18",2020-01-03,"Tennessee Valley Authority","TVA","Demand","Eastern","386858","megawatthours"
"19",2020-01-04,"Duke Energy Progress East","CPLE","Demand","Eastern","130941","megawatthours"
"20",2020-01-04,"Duke Energy Carolinas","DUK","Demand","Eastern","245331","megawatthours"
"21",2020-01-04,"New York Independent System Operator","NYIS","Demand","Eastern","389879","megawatthours"
"22",2020-01-04,"PJM Interconnection, LLC","PJM","Demand","Eastern","1969761","megawatthours"
"23",2020-01-04,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","538154","megawatthours"
"24",2020-01-04,"Tennessee Valley Authority","TVA","Demand","Eastern","405273","megawatthours"
"25",2020-01-05,"Duke Energy Progress East","CPLE","Demand","Eastern","160267","megawatthours"
"26",2020-01-05,"Duke Energy Carolinas","DUK","Demand","Eastern","278945","megawatthours"
"27",2020-01-05,"New York Independent System Operator","NYIS","Demand","Eastern","396540","megawatthours"
"28",2020-01-05,"PJM Interconnection, LLC","PJM","Demand","Eastern","2092649","megawatthours"
"29",2020-01-05,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","627507","megawatthours"
"30",2020-01-05,"Tennessee Valley Authority","TVA","Demand","Eastern","434276","megawatthours"
"31",2020-01-06,"Duke Energy Progress East","CPLE","Demand","Eastern","175925","megawatthours"
"32",2020-01-06,"Duke Energy Carolinas","DUK","Demand","Eastern","299586","megawatthours"
"33",2020-01-06,"New York Independent System Operator","NYIS","Demand","Eastern","432354","megawatthours"
"34",2020-01-06,"PJM Interconnection, LLC","PJM","Demand","Eastern","2228840","megawatthours"
"35",2020-01-06,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","638761","megawatthours"
"36",2020-01-06,"Tennessee Valley Authority","TVA","Demand","Eastern","443021","megawatthours"
"37",2020-01-07,"Duke Energy Progress East","CPLE","Demand","Eastern","183329","megawatthours"
"38",2020-01-07,"Duke Energy Carolinas","DUK","Demand","Eastern","307568","megawatthours"
"39",2020-01-07,"New York Independent System Operator","NYIS","Demand","Eastern","432730","megawatthours"
"40",2020-01-07,"PJM Interconnection, LLC","PJM","Demand","Eastern","2325643","megawatthours"
"41",2020-01-07,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","605706","megawatthours"
"42",2020-01-07,"Tennessee Valley Authority","TVA","Demand","Eastern","433369","megawatthours"
"43",2020-01-08,"Duke Energy Progress East","CPLE","Demand","Eastern","185962","megawatthours"
"44",2020-01-08,"Duke Energy Carolinas","DUK","Demand","Eastern","310712","megawatthours"
"45",2020-01-08,"New York Independent System Operator","NYIS","Demand","Eastern","441775","megawatthours"
"46",2020-01-08,"PJM Interconnection, LLC","PJM","Demand","Eastern","2377488","megawatthours"
"47",2020-01-08,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","665394","megawatthours"
"48",2020-01-08,"Tennessee Valley Authority","TVA","Demand","Eastern","449045","megawatthours"
"49",2020-01-09,"Duke Energy Progress East","CPLE","Demand","Eastern","184851","megawatthours"
"50",2020-01-09,"Duke Energy Carolinas","DUK","Demand","Eastern","308242","megawatthours"
"51",2020-01-09,"New York Independent System Operator","NYIS","Demand","Eastern","457121","megawatthours"
"52",2020-01-09,"PJM Interconnection, LLC","PJM","Demand","Eastern","2406649","megawatthours"
"53",2020-01-09,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","646999","megawatthours"
"54",2020-01-09,"Tennessee Valley Authority","TVA","Demand","Eastern","436758","megawatthours"
"55",2020-01-10,"Duke Energy Progress East","CPLE","Demand","Eastern","157793","megawatthours"
"56",2020-01-10,"Duke Energy Carolinas","DUK","Demand","Eastern","277532","megawatthours"
"57",2020-01-10,"New York Independent System Operator","NYIS","Demand","Eastern","430162","megawatthours"
"58",2020-01-10,"PJM Interconnection, LLC","PJM","Demand","Eastern","2167421","megawatthours"
"59",2020-01-10,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","555510","megawatthours"
"60",2020-01-10,"Tennessee Valley Authority","TVA","Demand","Eastern","377204","megawatthours"
"61",2020-01-11,"Duke Energy Progress East","CPLE","Demand","Eastern","131340","megawatthours"
"62",2020-01-11,"Duke Energy Carolinas","DUK","Demand","Eastern","235749","megawatthours"
"63",2020-01-11,"New York Independent System Operator","NYIS","Demand","Eastern","374525","megawatthours"
"64",2020-01-11,"PJM Interconnection, LLC","PJM","Demand","Eastern","1876813","megawatthours"
"65",2020-01-11,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","506505","megawatthours"
"66",2020-01-11,"Tennessee Valley Authority","TVA","Demand","Eastern","344389","megawatthours"
"67",2020-01-12,"Duke Energy Progress East","CPLE","Demand","Eastern","126803","megawatthours"
"68",2020-01-12,"Duke Energy Carolinas","DUK","Demand","Eastern","220485","megawatthours"
"69",2020-01-12,"New York Independent System Operator","NYIS","Demand","Eastern","366821","megawatthours"
"70",2020-01-12,"PJM Interconnection, LLC","PJM","Demand","Eastern","1839555","megawatthours"
"71",2020-01-12,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","505661","megawatthours"
"72",2020-01-12,"Tennessee Valley Authority","TVA","Demand","Eastern","374341","megawatthours"
"73",2020-01-13,"Duke Energy Progress East","CPLE","Demand","Eastern","137519","megawatthours"
"74",2020-01-13,"Duke Energy Carolinas","DUK","Demand","Eastern","250728","megawatthours"
"75",2020-01-13,"New York Independent System Operator","NYIS","Demand","Eastern","419733","megawatthours"
"76",2020-01-13,"PJM Interconnection, LLC","PJM","Demand","Eastern","2119310","megawatthours"
"77",2020-01-13,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","549846","megawatthours"
"78",2020-01-13,"Tennessee Valley Authority","TVA","Demand","Eastern","412664","megawatthours"
"79",2020-01-14,"Duke Energy Progress East","CPLE","Demand","Eastern","138714","megawatthours"
"80",2020-01-14,"Duke Energy Carolinas","DUK","Demand","Eastern","251802","megawatthours"
"81",2020-01-14,"New York Independent System Operator","NYIS","Demand","Eastern","418257","megawatthours"
"82",2020-01-14,"PJM Interconnection, LLC","PJM","Demand","Eastern","2164719","megawatthours"
"83",2020-01-14,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","551870","megawatthours"
"84",2020-01-14,"Tennessee Valley Authority","TVA","Demand","Eastern","381025","megawatthours"
"85",2020-01-15,"Duke Energy Progress East","CPLE","Demand","Eastern","136017","megawatthours"
"86",2020-01-15,"Duke Energy Carolinas","DUK","Demand","Eastern","250734","megawatthours"
"87",2020-01-15,"New York Independent System Operator","NYIS","Demand","Eastern","408105","megawatthours"
"88",2020-01-15,"PJM Interconnection, LLC","PJM","Demand","Eastern","2111525","megawatthours"
"89",2020-01-15,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","550316","megawatthours"
"90",2020-01-15,"Tennessee Valley Authority","TVA","Demand","Eastern","368720","megawatthours"
"91",2020-01-16,"Duke Energy Progress East","CPLE","Demand","Eastern","137228","megawatthours"
"92",2020-01-16,"Duke Energy Carolinas","DUK","Demand","Eastern","253036","megawatthours"
"93",2020-01-16,"New York Independent System Operator","NYIS","Demand","Eastern","424414","megawatthours"
"94",2020-01-16,"PJM Interconnection, LLC","PJM","Demand","Eastern","2187026","megawatthours"
"95",2020-01-16,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","550498","megawatthours"
"96",2020-01-16,"Tennessee Valley Authority","TVA","Demand","Eastern","398184","megawatthours"
"97",2020-01-17,"Duke Energy Progress East","CPLE","Demand","Eastern","173877","megawatthours"
"98",2020-01-17,"Duke Energy Carolinas","DUK","Demand","Eastern","292512","megawatthours"
"99",2020-01-17,"New York Independent System Operator","NYIS","Demand","Eastern","457882","megawatthours"
"100",2020-01-17,"PJM Interconnection, LLC","PJM","Demand","Eastern","2419862","megawatthours"
"101",2020-01-17,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","587996","megawatthours"
"102",2020-01-17,"Tennessee Valley Authority","TVA","Demand","Eastern","460454","megawatthours"
"103",2020-01-18,"Duke Energy Progress East","CPLE","Demand","Eastern","171696","megawatthours"
"104",2020-01-18,"Duke Energy Carolinas","DUK","Demand","Eastern","297118","megawatthours"
"105",2020-01-18,"New York Independent System Operator","NYIS","Demand","Eastern","449093","megawatthours"
"106",2020-01-18,"PJM Interconnection, LLC","PJM","Demand","Eastern","2324080","megawatthours"
"107",2020-01-18,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","578082","megawatthours"
"108",2020-01-18,"Tennessee Valley Authority","TVA","Demand","Eastern","408426","megawatthours"
"109",2020-01-19,"Duke Energy Progress East","CPLE","Demand","Eastern","141497","megawatthours"
"110",2020-01-19,"Duke Energy Carolinas","DUK","Demand","Eastern","265780","megawatthours"
"111",2020-01-19,"New York Independent System Operator","NYIS","Demand","Eastern","412874","megawatthours"
"112",2020-01-19,"PJM Interconnection, LLC","PJM","Demand","Eastern","2255089","megawatthours"
"113",2020-01-19,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","578804","megawatthours"
"114",2020-01-19,"Tennessee Valley Authority","TVA","Demand","Eastern","458028","megawatthours"
"115",2020-01-20,"Duke Energy Progress East","CPLE","Demand","Eastern","207561","megawatthours"
"116",2020-01-20,"Duke Energy Carolinas","DUK","Demand","Eastern","348537","megawatthours"
"117",2020-01-20,"New York Independent System Operator","NYIS","Demand","Eastern","455573","megawatthours"
"118",2020-01-20,"PJM Interconnection, LLC","PJM","Demand","Eastern","2547956","megawatthours"
"119",2020-01-20,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","762191","megawatthours"
"120",2020-01-20,"Tennessee Valley Authority","TVA","Demand","Eastern","589138","megawatthours"
"121",2020-01-21,"Duke Energy Progress East","CPLE","Demand","Eastern","233517","megawatthours"
"122",2020-01-21,"Duke Energy Carolinas","DUK","Demand","Eastern","369387","megawatthours"
"123",2020-01-21,"New York Independent System Operator","NYIS","Demand","Eastern","466474","megawatthours"
"124",2020-01-21,"PJM Interconnection, LLC","PJM","Demand","Eastern","2576851","megawatthours"
"125",2020-01-21,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","829713","megawatthours"
"126",2020-01-21,"Tennessee Valley Authority","TVA","Demand","Eastern","573057","megawatthours"
"127",2020-01-22,"Duke Energy Progress East","CPLE","Demand","Eastern","217757","megawatthours"
"128",2020-01-22,"Duke Energy Carolinas","DUK","Demand","Eastern","363585","megawatthours"
"129",2020-01-22,"New York Independent System Operator","NYIS","Demand","Eastern","450860","megawatthours"
"130",2020-01-22,"PJM Interconnection, LLC","PJM","Demand","Eastern","2510520","megawatthours"
"131",2020-01-22,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","800274","megawatthours"
"132",2020-01-22,"Tennessee Valley Authority","TVA","Demand","Eastern","551682","megawatthours"
"133",2020-01-23,"Duke Energy Progress East","CPLE","Demand","Eastern","201887","megawatthours"
"134",2020-01-23,"Duke Energy Carolinas","DUK","Demand","Eastern","340375","megawatthours"
"135",2020-01-23,"New York Independent System Operator","NYIS","Demand","Eastern","439472","megawatthours"
"136",2020-01-23,"PJM Interconnection, LLC","PJM","Demand","Eastern","2416279","megawatthours"
"137",2020-01-23,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","704619","megawatthours"
"138",2020-01-23,"Tennessee Valley Authority","TVA","Demand","Eastern","482878","megawatthours"
"139",2020-01-24,"Duke Energy Progress East","CPLE","Demand","Eastern","159271","megawatthours"
"140",2020-01-24,"Duke Energy Carolinas","DUK","Demand","Eastern","304196","megawatthours"
"141",2020-01-24,"New York Independent System Operator","NYIS","Demand","Eastern","419874","megawatthours"
"142",2020-01-24,"PJM Interconnection, LLC","PJM","Demand","Eastern","2231018","megawatthours"
"143",2020-01-24,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","621392","megawatthours"
"144",2020-01-24,"Tennessee Valley Authority","TVA","Demand","Eastern","443286","megawatthours"
"145",2020-01-25,"Duke Energy Progress East","CPLE","Demand","Eastern","134178","megawatthours"
"146",2020-01-25,"Duke Energy Carolinas","DUK","Demand","Eastern","270866","megawatthours"
"147",2020-01-25,"New York Independent System Operator","NYIS","Demand","Eastern","402991","megawatthours"
"148",2020-01-25,"PJM Interconnection, LLC","PJM","Demand","Eastern","2065647","megawatthours"
"149",2020-01-25,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","634781","megawatthours"
"150",2020-01-25,"Tennessee Valley Authority","TVA","Demand","Eastern","458469","megawatthours"
"151",2020-01-26,"Duke Energy Progress East","CPLE","Demand","Eastern","163097","megawatthours"
"152",2020-01-26,"Duke Energy Carolinas","DUK","Demand","Eastern","289200","megawatthours"
"153",2020-01-26,"New York Independent System Operator","NYIS","Demand","Eastern","389926","megawatthours"
"154",2020-01-26,"PJM Interconnection, LLC","PJM","Demand","Eastern","2097996","megawatthours"
"155",2020-01-26,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","637479","megawatthours"
"156",2020-01-26,"Tennessee Valley Authority","TVA","Demand","Eastern","454777","megawatthours"
"157",2020-01-27,"Duke Energy Progress East","CPLE","Demand","Eastern","172879","megawatthours"
"158",2020-01-27,"Duke Energy Carolinas","DUK","Demand","Eastern","302254","megawatthours"
"159",2020-01-27,"New York Independent System Operator","NYIS","Demand","Eastern","423957","megawatthours"
"160",2020-01-27,"PJM Interconnection, LLC","PJM","Demand","Eastern","2286486","megawatthours"
"161",2020-01-27,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","633444","megawatthours"
"162",2020-01-27,"Tennessee Valley Authority","TVA","Demand","Eastern","433980","megawatthours"
"163",2020-01-28,"Duke Energy Progress East","CPLE","Demand","Eastern","171585","megawatthours"
"164",2020-01-28,"Duke Energy Carolinas","DUK","Demand","Eastern","300229","megawatthours"
"165",2020-01-28,"New York Independent System Operator","NYIS","Demand","Eastern","427454","megawatthours"
"166",2020-01-28,"PJM Interconnection, LLC","PJM","Demand","Eastern","2306687","megawatthours"
"167",2020-01-28,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","655576","megawatthours"
"168",2020-01-28,"Tennessee Valley Authority","TVA","Demand","Eastern","467801","megawatthours"
"169",2020-01-29,"Duke Energy Progress East","CPLE","Demand","Eastern","187392","megawatthours"
"170",2020-01-29,"Duke Energy Carolinas","DUK","Demand","Eastern","312845","megawatthours"
"171",2020-01-29,"New York Independent System Operator","NYIS","Demand","Eastern","432528","megawatthours"
"172",2020-01-29,"PJM Interconnection, LLC","PJM","Demand","Eastern","2328640","megawatthours"
"173",2020-01-29,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","669681","megawatthours"
"174",2020-01-29,"Tennessee Valley Authority","TVA","Demand","Eastern","456307","megawatthours"
"175",2020-01-30,"Duke Energy Progress East","CPLE","Demand","Eastern","174556","megawatthours"
"176",2020-01-30,"Duke Energy Carolinas","DUK","Demand","Eastern","298979","megawatthours"
"177",2020-01-30,"New York Independent System Operator","NYIS","Demand","Eastern","443703","megawatthours"
"178",2020-01-30,"PJM Interconnection, LLC","PJM","Demand","Eastern","2383611","megawatthours"
"179",2020-01-30,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","651207","megawatthours"
"180",2020-01-30,"Tennessee Valley Authority","TVA","Demand","Eastern","441975","megawatthours"
"181",2020-01-31,"Duke Energy Progress East","CPLE","Demand","Eastern","196623","megawatthours"
"182",2020-01-31,"Duke Energy Carolinas","DUK","Demand","Eastern","335528","megawatthours"
"183",2020-01-31,"New York Independent System Operator","NYIS","Demand","Eastern","434227","megawatthours"
"184",2020-01-31,"PJM Interconnection, LLC","PJM","Demand","Eastern","2301382","megawatthours"
"185",2020-01-31,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","658999","megawatthours"
"186",2020-01-31,"Tennessee Valley Authority","TVA","Demand","Eastern","429170","megawatthours"
"187",2020-02-01,"Duke Energy Progress East","CPLE","Demand","Eastern","174637","megawatthours"
"188",2020-02-01,"Duke Energy Carolinas","DUK","Demand","Eastern","287137","megawatthours"
"189",2020-02-01,"New York Independent System Operator","NYIS","Demand","Eastern","402350","megawatthours"
"190",2020-02-01,"PJM Interconnection, LLC","PJM","Demand","Eastern","2121518","megawatthours"
"191",2020-02-01,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","628196","megawatthours"
"192",2020-02-01,"Tennessee Valley Authority","TVA","Demand","Eastern","421634","megawatthours"
"193",2020-02-02,"Duke Energy Progress East","CPLE","Demand","Eastern","161302","megawatthours"
"194",2020-02-02,"Duke Energy Carolinas","DUK","Demand","Eastern","266382","megawatthours"
"195",2020-02-02,"New York Independent System Operator","NYIS","Demand","Eastern","394120","megawatthours"
"196",2020-02-02,"PJM Interconnection, LLC","PJM","Demand","Eastern","2019563","megawatthours"
